CODSEC;pr_2001,N,24,15;pr_2011,N,24,15
3907501001;-0,166981121497425;-0,041218426757404
3907501002;-0,570805199882468;-0,368700371341687
3907501003;-0,304690825766153;-0,293438122846582
3907501004;-0,36480551369045;-0,349249856522106
3907501005;-0,234462535356936;0,006034005459972
3907501006;-0,089020113874286;-0,076099165118972
3907501007;-0,126796246189196;-0,178119067087977
3907501008;0,220639534935118;0,413784272791712
3907501009;0,103947196878126;0,03624582088887
3907501010;0,237597705316465;0,235541867139631
3907502001;-0,218063771483473;-0,238188993000869
3907502002;0,011492753911089;0,154649802956069
3907502003;-0,09621409812475;-0,118632765228119
3907502004;-0,10241026890336;-0,004543087490495
3907502005;0,037924216632752;-0,053666367903337
3907502006;-0,402697494058808;-0,37753558260082
3907502007;-0,280488496215946;-0,096052933482807
3907502008;0,25659028985356;0,16683107651276
3907502009;-0,089564252607066;0,065986784439956
3907502010;-0,240029717876981;-0,026931528172269
3907502011;-0,407393801587712;-0,275324267587978
3907502012;-0,004738190687882;0,07290018970721
3907502013;-0,309364935574337;-0,177749521225425
3907502014;-0,529311704864135;-0,311358125530262
3907502015;-0,514943767057537;-0,423617726490081
3907502016;-0,542850976265663;-0,572086537166087
3907502017;-0,131297713466516;-0,158244864468706
3907502018;0,035137609627246;-0,091840147988193
3907502019;0,308437402843543;0,270927183489139
3907502020;0,016361800234875;-0,183997148096646
3907502021;-0,027356125232291;-0,105434313399558
3907502022;0,092520646048095;0,068103638374729
3907502023;0,624470203737271;0,486951634255947
3907502025;-0,081573449976941;-0,106480215503051
3907502026;-0,043353303335997;-0,143885713329312
3907503001;0,033061316806273;-0,116394071163734
3907503002;0,215976316772605;0,082043828000697
3907503003;-0,01358372757216;-0,009007119636828
3907503004;0,305219276390239;0,179214677583542
3907503005;0,623896858117823;0,496657546667227
3907503006;0,324385255082319;0,101716229818887
3907503007;0,770868567808064;0,407616833157743
3907503008;0,187258374748174;0,151952075799313
3907503009;0,052629891275209;-0,160356266311754
3907503010;-0,387774315476708;-0,314121123917587
3907503011;-0,713252944053884;-0,573237617035496
3907503012;-0,270873247038231;-0,201206368024072
3907503013;0,291316006226617;0,209787245050507
3907503014;0,203303559639112;0,339241048683527
3907503015;-0,16822680475981;-0,263497981451349
3907504001;-0,49979162547786;-0,55893576154291
3907504002;-0,354795069100104;-0,478502927473121
3907504003;-0,307249106878083;-0,50132623290718
3907504004;-0,532212446966764;-0,457139463407741
3907504005;-0,26722230947917;-0,35697985237167
3907504006;-0,001903382761665;-0,048693864208971
3907504007;0,075036898444945;0,106618576638171
3907504008;-0,014124075134368;-0,216931503940156
3907504009;-0,821737942865251;-0,795438345734969
3907504010;-0,697771042398205;-0,657099643399155
3907504011;-0,876999221428659;-0,738899856777418
3907504013;-0,764828274106913;-0,716893888617877
3907504014;-0,088422051631607;-0,322960487245051
3907505001;-0,742931547626581;-0,557391142072927
3907505002;-0,661828092947928;-0,56654524835185
3907505003;-0,247761537279489;-0,224892534576112
3907505004;-0,208634258167722;-0,085553124006875
3907505005;-0,047736297557807;0,012963651145577
3907505006;0,31945634213011;0,539900674383518
3907505007;0,20967080889161;0,506974006282638
3907505008;0,241460870208786;0,243406668649192
3907505009;1,10154354911522;1,04778434541102
3907505010;-0,161832303452174;0,087632511783835
3907505011;0,300528034242528;0,373807859830104
3907505012;0,183865793841954;0,23925438197355
3907505013;-0,298766407470025;-0,14735991150005
3907505014;-0,052773994074341;0,037226355135007
3907505015;0,084432039189109;0,305659208499611
3907506001;0,077178451247212;0,22972397467546
3907506002;0,016439048543993;0,315848862420789
3907506003;-0,04455813322263;0,126491907483176
3907506004;0,264943338047591;0,202461058994235
3907506005;-0,268462055319536;-0,180840263893816
3907506006;0,410447434615261;0,628088859414445
3907506007;0,427056702820465;0,275890857459695
3907506008;0,556711082043981;0,478352919817863
3907506009;0,543943557410812;0,432859449590904
3907506010;0,592927465835736;0,591447339110779
3907506011;-0,172961055162006;-0,138140535292959
3907506012;0,249755485480631;0,552070367147024
3907506013;-0,402037841406474;-0,022767992219331
3907506014;0,244202739998067;0,280485997393083
3907507001;0,396267700479275;0,226395011461091
3907507002;-0,09492613744419;-0,045499119343518
3907507003;0,387513679679303;0,132665173409707
3907507004;0,061751404966726;-0,1256254682625
3907507005;0,155768331751252;0,057824982268023
3907507006;0,020726864475804;-0,176205551667568
3907507007;0,185689032178926;-0,020988635088961
3907507008;0,695424724772206;0,409625664786763
3907507009;0,339737830914668;0,36110248008406
3907507010;0,037375432009918;0,154804132282476
3907507011;0,038495630733805;0,270302242120965
3907507012;-0,285378398731692;-0,226741888279133
3907507013;0,275984236069949;0,293876209735418
3907507014;0,27409494924687;0,487644103265536
3907507016;0,135670647600165;0,180031870416899
3907507017;-0,613239299201141;-0,547679422752131
3907507018;0,477521566177188;0,389789548351544
3907507020;0,878944697088326;0,328882457807934
3907507022;-0,318073289429057;-0,303144233579836
3907507023;-0,337443430169029;-0,319771942570761
3907508002;-0,061331662534891;0,085055289896207
3907508003;-0,090837659801959;-0,171119100224931
3907508004;0,004509115092036;-0,173318997743797
3907508005;0,765811421035193;0,620660496897539
3907508006;0,651026387124643;0,508655918821802
3907508008;0,639681590400127;0,393980159255898
3907508010;0,140691173609268;-0,354900005139795
3907508013;0,397857054083849;0,456710666449453
3907508015;0,795673411108405;0,521260046805146
3907508016;-0,818586780476813;-0,77772749262992
3907508020;0,01363373846235;0,005842831341494
3907508021;-0,032403651871595;-0,020015046772512
